GA_ID,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
73,83.05797069,80.49494379,86.62105156,79.12670402,85.44168914,81.83244209,69.12255788,91.95947249,85.85669509,77.94946049,80.12615798,84.02134705,82.12156371,82.32722647,87.6963763,81.16184017,88.15320394,82.65262024,77.35431887,80.51183716,84.52059515,81.42634728,90.6253634,87.55923599,89.04535778,82.82489167,81.21348306,83.04998218,87.84540899,92.12927355,80.34949112,79.71426133,83.12467426,89.49970376,80.21101897,84.17161241,85.00204232,85.91334649,79.35906879,97.60045893,90.23745487,97.4797488,97.14212371,97.83633844,92.80634512,85.57340669,97.34563996,104.6626222,99.47012467,95.8901316,99.29546196,102.2880521,95.69307495,96.32381716,97.65709652,104.0075216,95.77120772,98.43369309,88.12210975,96.70487821,81.8463994,93.74736896
79,19.74963806,21.53723037,23.20176854,15.73702648,23.85366858,17.87171926,9.206018887,19.88547312,24.784461,18.83952954,19.66592286,28.34877072,20.27134138,23.14074288,24.79480794,18.11265408,23.48906864,15.8782907,21.43382412,23.53470341,22.66398364,22.02943032,20.10991792,24.97395003,20.21824859,16.09835565,17.96500106,18.36283007,26.50569148,20.32311258,20.40866738,14.51868492,14.6946957,18.03616446,20.40763136,16.05825298,24.19625305,32.87507305,22.3580285,34.45745006,17.61142878,26.31475468,27.91737727,31.69922166,26.51996002,20.72324275,29.7738451,35.58537881,28.82246507,26.83680334,28.29667078,22.93381747,22.17286619,26.79906492,35.5185687,37.86338792,27.53667915,25.5908777,26.66445516,26.09837225,17.31971563,21.57218282
80,51.37241108,53.29113249,56.34561444,48.56402715,55.86912259,49.98078178,37.89785143,57.33984115,57.50661984,47.01063235,52.12336064,57.58286043,50.97634449,54.50125856,59.12302457,55.90657639,56.83819615,48.42228733,48.34242368,55.85362516,53.56853812,56.99014655,55.71771126,56.58705864,57.87274715,46.75707695,45.23239671,49.63899941,59.84827741,59.27403668,46.21697973,47.16267597,49.94219347,56.50701305,50.58703684,50.18692917,56.83531515,62.65713199,48.05689231,71.25860241,58.03485548,63.24061193,64.20998096,68.6374935,64.90165342,54.72058324,66.78238272,71.86405376,67.76982194,64.37658147,65.75620408,64.90988969,60.36334479,61.1332171,65.81322044,72.88738523,61.16043552,65.969045,66.63164653,70.05654195,52.01036094,62.2371227
71,86.06587155,82.72094227,89.44225955,83.63070225,87.87293587,87.77928129,76.5055938,96.9974415,88.44773521,82.50561864,85.23915045,82.7191126,86.33402824,85.1100737,93.77586915,83.8984603,87.8852128,87.96099059,79.8867559,83.44413708,90.04052706,83.82196276,92.37029679,88.20465825,92.2873506,88.1527909,85.2952648,86.07298482,90.9401724,92.94591949,85.29208955,89.16213431,87.38615065,92.76734182,86.40178641,87.41136246,90.37133037,88.69112661,83.87923489,99.79749372,94.55622583,102.3225323,101.4857795,98.56795507,99.06717594,88.78196823,101.6646601,106.3429385,103.4486985,104.6788497,102.7990223,107.6299171,102.3303695,102.4925208,98.3059538,107.1754169,103.1446113,103.8360966,94.12981468,106.1544388,93.48329916,102.5562131
81,73.82939359,72.50416692,77.97955011,70.47936117,77.38628466,72.05903903,59.06013099,82.07526777,77.53360652,68.64327253,71.87512301,76.69818117,72.83223738,74.10420505,79.46778968,73.18310718,79.43264996,72.57437844,68.42658794,73.28198599,74.32603208,74.63209433,80.58287783,77.94798766,80.34115859,71.7923936,70.6601891,72.26658264,79.42254488,82.72171058,69.6428604,68.84259018,72.17978106,79.61903474,71.06491325,74.43555653,75.93063899,79.936439,69.91138209,90.18659826,80.50424855,87.62129629,86.99650492,89.19864238,83.34447671,76.06728897,87.80363972,94.94872857,89.87271133,85.69389494,88.81492067,90.30631169,84.12613506,84.04108073,87.42330235,93.64612716,84.28704909,89.14593765,81.1477437,86.06406274,71.05948312,80.59052156
78,62.07711827,66.73740522,67.65521612,59.96129421,66.37376999,60.69304887,49.52319996,65.21805164,69.618392,57.97094471,62.52750429,70.78329459,60.66709696,65.41307626,68.35976534,65.91703193,66.42076485,58.31698904,58.40680724,68.28421606,65.94341413,68.04082268,61.77292877,66.22893077,65.1714345,55.8055717,55.07622171,60.12740744,69.96280093,66.95938209,59.37479661,56.70582074,61.3019301,64.94380846,61.02397891,57.66440589,69.73739416,76.69455421,61.97222176,84.25520505,68.8323247,73.13394903,74.51717859,80.53111683,78.66962062,67.31196801,78.07611379,81.66377636,79.96114478,74.86411949,75.0929368,71.81355913,69.60060324,71.46462865,78.73946815,86.55291383,72.00612098,74.58079584,77.97872046,77.43578228,62.56475178,66.28580718
88,42.59894193,45.30950053,47.31476726,40.7951237,46.85655275,41.40663213,30.81122251,48.04238644,48.82810393,39.77145015,44.3298819,48.21859121,42.55148285,45.56396972,49.14864555,46.27470251,47.41872334,40.03274632,39.97384052,47.78960315,45.56605377,48.65728534,46.13293991,47.3729116,47.67368027,38.00708701,37.14557858,41.72163454,50.94673296,49.32237808,38.78010113,39.37826169,42.08570355,46.89587844,42.7189259,41.67306065,48.88107485,54.8684536,41.18178131,61.71501162,49.63784707,54.55928403,54.59353708,59.28176837,56.20548845,46.04012074,57.43279534,61.62740568,58.46607666,55.84855124,56.22912094,55.37406,51.92136977,52.56666468,56.72382435,62.98384644,52.23196147,56.43632142,55.40304508,59.05218582,43.84119051,53.44185939
77,87.40791029,84.08362343,91.00609074,85.00657515,89.17216215,88.55676864,76.95845478,97.95209036,89.79726307,83.42265067,85.99096516,84.52685069,86.79530558,86.57603978,94.48496405,85.36560356,90.01195295,89.21542403,80.88110134,85.07653377,90.683942,84.94364872,93.76112781,90.00053094,93.611289,89.04058529,85.96508261,87.12110041,92.23351971,94.96911391,85.70589588,89.49233903,88.69100429,94.09685173,86.70808668,88.90113946,91.58318623,89.82402344,84.59890501,101.6020592,96.26999091,103.8342488,103.1479319,101.681368,99.87278901,90.24457225,102.2685096,108.4909699,105.3137153,105.6746526,104.0862179,108.9476355,103.502524,104.0430039,100.5398662,107.7934363,103.9062655,105.113798,94.69280647,106.7330291,92.35119913,103.5382132
85,78.55784037,74.33380703,81.56174997,76.35819628,80.69991094,80.23610795,69.33706609,89.18059819,81.04247038,75.90563103,79.12752324,75.52151862,79.1706268,78.55943832,87.11612917,76.12487368,80.80875461,80.72226801,72.21532515,77.03159738,82.26098037,75.22794136,84.24069179,79.48054987,83.4364926,80.70050939,77.95427214,78.92649595,83.28047787,84.38597405,78.37207727,82.42394744,78.48631007,84.77740513,78.83456022,80.16597033,82.86542968,81.49749255,77.32839264,90.53977502,84.71655203,93.94558132,93.05634032,90.01169882,90.33421442,80.25478437,92.90281725,98.17762177,94.72650763,97.86532704,94.08745926,99.69739718,94.9369963,94.99667305,89.39824763,97.04449624,94.35332348,94.30828723,88.76682899,100.5921094,85.82009657,93.91375025
72,74.75220437,71.19935678,77.50413694,72.28783516,76.22139047,76.69829141,66.4118616,84.62653079,76.71769895,72.3040384,74.88314662,71.766995,75.95751976,74.16845016,82.58143439,72.53315008,76.39617103,76.60753049,69.24167976,72.58827021,78.42726036,72.53379002,80.53032576,76.29692261,79.74618576,76.74356506,74.55591644,75.11181287,79.30247126,80.3212543,74.7641825,78.34441427,75.31677375,80.87014221,75.6377308,75.73293137,78.60319356,77.6368745,73.50792846,86.43754772,81.2604428,89.29094763,88.3234614,84.82301416,86.26077823,76.75203529,88.39573107,92.34346161,89.75530776,91.94725149,89.51801401,94.19585251,89.94248187,89.5727969,85.08930195,93.00953651,90.05972613,90.1092249,83.15681927,94.38743446,80.11896594,88.96303387
