GA_ID,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
73,121.3292289,134.5232462,184.3459977,137.5297729,135.6235212,119.9212615,168.4396885,139.489755,144.0633683,128.3102959,124.0374368,154.2327313,181.7293059,170.5176944,192.1452091,173.4866154,185.8351912,148.2045646,160.7301697,143.1522207,221.1728009,144.7904561,143.9676918,126.3981774,161.349031,136.6464844,162.2875797,154.2123758,132.6595718,114.5591792,174.3458703,120.2908835,111.5995544,103.5821874,140.1559944,97.94231455,211.2285106,196.7513631
79,1554.547127,1651.493259,1809.76843,1560.029742,1583.563813,1474.642324,1437.522599,1631.658653,1776.244475,1609.082514,1363.972017,1822.8964,1816.667962,1585.732228,1673.902052,1849.560538,1649.106656,1335.116957,1512.716101,1824.837487,1717.027661,1557.820432,1833.080323,1835.258718,1706.01221,1692.88348,1796.132386,1605.536471,1478.928436,1821.152814,1668.06651,1746.405248,1694.686259,1787.854022,1774.687735,1777.350239,1745.200787,2388.064287
80,307.6725976,371.6087213,455.9553156,437.3555977,368.9687256,309.4144454,351.4191823,403.0221383,432.9729072,424.2247306,328.487815,472.8828766,449.6653459,311.8808087,393.9661273,423.8611542,516.9159663,416.0533625,346.7535776,389.6266009,527.2440788,478.6533478,461.6060977,431.7372385,509.714972,463.9052278,571.4814295,494.6279444,481.4222467,467.3798347,603.7933396,572.2984685,597.320028,571.9220092,511.3845734,511.2296304,658.5060413,754.1034271
71,211.8471146,191.7663581,252.4833254,292.4199195,213.3583959,217.5855883,214.786925,243.9655027,273.4742816,276.4609979,245.8067297,290.6314013,334.9212261,317.4243343,286.0681237,278.974945,319.5217292,319.4857589,308.6860597,310.7391981,390.004692,357.0566704,382.2915034,339.7891915,336.86008,339.0826519,357.7173161,385.6959954,359.2231501,322.8533916,351.5591276,338.521965,356.7869152,353.8133577,335.9915231,379.1778755,369.7360546,404.9084845
81,124.7324405,93.18906305,149.649954,161.5861181,167.5196241,134.5350176,151.5957517,152.8341518,168.5418843,153.2267529,123.2173182,162.0513588,197.7729225,195.2794638,188.0715499,177.1102986,188.6026573,170.1790892,172.4689316,156.0095582,206.8057739,170.403504,164.9233634,152.050401,176.9964932,154.6980841,182.2667606,210.8644949,162.290266,190.1469189,208.2784366,187.5669576,157.7990034,177.9329443,187.674876,169.9901023,232.802439,268.4077262
78,504.6055352,607.9839948,647.7123723,625.1667435,597.5343447,647.6573778,482.03347,729.3565109,875.3143838,841.708644,546.5792268,863.455185,788.333233,587.2263822,603.9214153,796.2685216,744.3197062,664.4730514,664.1800807,767.8438039,786.5492708,714.8924617,801.8836258,729.6018302,819.4792652,843.1125382,867.3190584,828.4483376,737.0586249,819.9121616,893.924634,847.7600181,818.4658741,894.7436057,780.5020317,880.4708435,888.5050513,999.2215525
88,554.3917037,578.0974694,791.1359814,772.0531124,703.4941979,659.4938194,623.900022,794.2828302,829.0295999,789.0861516,550.2714464,711.234449,952.2706818,642.765759,654.875678,922.6488282,878.8568119,692.9339575,629.9728779,800.9148639,953.1879473,898.0258309,889.5975599,803.1925169,915.487554,930.2362422,1008.569928,910.2101906,762.2548655,819.1710134,956.6028966,960.6340308,920.7044715,1003.707316,888.0297251,855.6217552,1025.235061,1251.607706
77,127.4054666,121.8964485,139.4972301,145.8961328,128.1377079,123.1023733,159.3791274,134.465587,134.7265584,131.2155646,126.6711001,139.0820054,149.3053154,131.5998515,132.5705764,132.4191048,134.819905,132.5660645,133.5600357,130.2675923,139.1860185,132.9475788,140.3539979,132.1903423,130.1243183,132.8153324,138.8665124,146.2587911,135.5799013,134.9912912,144.6803926,136.1519666,138.5506753,136.5846155,136.6908627,140.1416317,159.5255001,161.508571
85,124.5771705,116.3074845,169.7523423,153.2469078,125.9560681,129.076944,149.1984069,126.8523576,153.9447142,129.5306438,138.8089877,164.7243663,192.5103435,159.569599,154.8353455,152.3709582,150.6467341,139.3669352,162.4556078,115.5660104,161.8941735,141.8812105,141.2764893,126.2484853,130.8312287,142.8665316,169.5698393,166.9788411,138.7118069,132.8888493,172.0739043,116.0896406,116.098073,107.5113234,121.7277982,132.2057442,187.7455722,181.3640439
72,128.7472405,136.4299403,157.1952994,159.7836151,130.245916,129.2141545,143.1786813,120.4147644,146.6894858,141.157986,133.6149101,153.1261233,178.0242644,140.7804784,138.567441,143.2555743,145.8915286,134.0001089,148.3897183,115.9833274,137.6849059,125.6746217,131.4606629,131.3760383,132.7303985,139.4998637,160.2817344,146.5661179,133.4909254,128.6305359,151.1534493,125.9544431,125.097232,123.5071134,133.0020417,137.6749256,164.0715147,161.7654958
