GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
15,0.001578828,0.001145116,0.001612116,0.001879569,0.001705422,0.001261787,0.001433747,0.001378406,9.59E-04,0.001161501,9.88E-04,6.14E-04,0.001562084,0.001556982,0.001638383,0.001855325,0.001717233,0.001109051,0.001702398,0.001627838,8.26E-04,0.001148488,0.001641292,0.001279529,0.001107779,0.001311476,0.001875897,0.002734431,0.002463375,9.74E-04,0.001432699,0.001526085,0.001762842
16,4.05E-05,1.25E-04,1.29E-04,1.19E-04,1.94E-04,1.54E-04,5.94E-05,1.44E-04,1.01E-04,1.40E-04,8.69E-05,4.93E-05,3.74E-04,9.71E-05,1.80E-04,3.67E-04,1.57E-04,1.21E-04,1.35E-04,1.32E-04,1.60E-04,8.63E-05,1.76E-04,9.49E-05,1.06E-04,1.40E-04,1.08E-04,1.86E-04,2.24E-04,2.68E-04,2.25E-04,1.57E-04,1.52E-04
17,0.005428825,0.005665911,0.007309813,0.007697319,0.006647236,0.003963414,0.004052062,0.005019924,0.005811116,0.007805427,0.007725352,0.006156068,0.005587949,0.004023174,0.006130446,0.006671638,0.006343999,0.004340597,0.004207128,0.003934196,0.005877574,0.008198462,0.006971426,0.005781225,0.007295901,0.005621845,0.00717635,0.005286259,0.005783294,0.003909447,0.004663625,0.004652217,0.006096415
18,3.02E-04,5.12E-04,9.98E-04,0.001958815,0.004348179,0.004890383,0.006808295,0.008046245,0.004897997,0.004165497,0.001127788,2.04E-04,2.36E-04,3.43E-04,9.87E-04,0.002163672,0.004237885,0.004085322,0.006508505,0.005662066,0.005329198,0.002726492,4.49E-04,2.04E-04,6.52E-04,6.84E-04,0.001230771,0.001933588,0.003756576,0.004112079,0.005249397,0.005740081,0.00459416
19,2.24E-05,1.67E-05,3.22E-05,4.91E-06,2.12E-05,1.60E-05,3.99E-05,3.28E-05,3.40E-05,6.32E-05,6.62E-05,2.70E-05,2.82E-06,4.33E-05,6.73E-07,7.94E-06,3.48E-05,9.37E-05,1.14E-05,1.62E-05,2.29E-06,1.86E-05,4.49E-06,3.13E-07,2.49E-05,2.16E-05,1.11E-04,7.39E-05,4.68E-05,1.83E-05,1.31E-06,1.49E-05,4.49E-06
20,5.20E-04,4.91E-04,0.001016078,8.88E-04,6.27E-04,8.18E-05,3.08E-05,9.74E-05,4.39E-04,2.85E-04,9.06E-04,9.87E-04,3.15E-04,7.99E-04,4.60E-04,5.69E-04,2.26E-04,3.86E-04,5.52E-05,2.65E-04,3.00E-04,3.07E-04,1.26E-04,3.67E-04,6.87E-04,7.32E-04,5.42E-04,0.001180878,6.93E-04,1.49E-04,5.17E-05,9.14E-05,3.57E-04
21,0.002505734,0.001845116,0.002040577,0.001138374,0.001015211,2.27E-04,6.37E-05,2.59E-04,2.49E-04,0.0019203,0.001581273,0.002868225,0.004702051,0.002487016,6.53E-04,5.87E-04,3.91E-04,3.35E-04,1.13E-04,2.67E-04,5.54E-04,9.31E-04,0.002160706,0.002340138,0.002093924,0.002665869,0.002105671,0.001147785,4.18E-04,1.40E-04,1.02E-04,2.38E-04,6.67E-04
22,0.002291932,0.002122879,0.002832707,0.002268202,0.002986819,0.003004551,0.002850337,0.002075687,0.00162879,0.003007315,0.002644173,0.002133979,0.00243257,0.001774112,0.003058655,0.002407354,0.003409195,0.002628704,0.002679422,0.001858386,0.003071513,0.00349025,0.00130687,0.005153945,0.00245342,0.00153,0.002287347,0.001435534,0.002310095,0.00260281,0.002208968,0.002427057,0.002114198
23,0.001388748,0.001385796,0.001327507,0.001677292,0.001553473,0.003673806,0.00214933,0.00362748,0.003307453,0.004046366,0.002788176,0.003357441,0.003195693,0.00186839,0.002321373,0.001668249,0.001662305,0.003800093,0.003866619,0.002408649,0.002575333,0.00350691,0.003729399,0.001622841,0.001939012,0.001823647,0.003040363,0.00240515,0.002885342,0.001516358,0.002443298,0.003595115,0.004237391
24,0.003422628,0.002825834,0.001935786,0.002411465,0.001293002,9.47E-04,7.60E-04,0.001029443,0.002943246,0.003224545,0.003261468,0.004088553,0.004998345,0.003523708,0.00297133,0.002928446,0.001102244,0.001616047,0.001539251,0.001674378,0.002133734,0.002769765,0.002984455,0.003293893,0.003645295,0.003239229,0.002475765,0.00328649,0.001815428,0.001317395,0.002533608,0.001509129,0.003761929
25,0.002496774,0.002206674,0.001588157,0.002079093,7.59E-04,7.25E-04,9.77E-04,0.001933545,0.001853885,0.002341768,0.002504653,0.002138007,0.002543987,0.002851877,0.002232841,0.002046562,0.001148124,0.001347533,0.001063068,0.001103056,0.002638248,0.001719715,0.00287747,0.00255156,0.002818876,0.001901247,0.001678462,0.002085995,0.001270562,6.59E-04,9.41E-04,0.001096224,0.001308702
26,0.001590538,0.002444193,0.001787506,0.001203272,3.87E-04,1.44E-04,8.83E-05,1.15E-04,2.14E-04,4.12E-04,0.001109131,0.002473489,0.002564456,0.00140021,0.001760295,0.00121582,6.70E-04,1.75E-04,1.87E-04,1.59E-04,1.96E-04,6.11E-04,0.002134698,0.001997847,0.002173186,0.003389329,0.002694912,9.30E-04,2.39E-04,1.79E-04,1.32E-04,2.20E-04,2.26E-04
27,1.66E-04,1.93E-04,2.64E-04,5.45E-05,6.70E-05,9.04E-05,5.32E-05,1.15E-04,1.29E-04,1.33E-04,1.38E-04,2.10E-04,2.11E-04,2.36E-04,1.78E-04,8.88E-05,8.67E-05,9.24E-05,9.86E-05,1.07E-04,7.27E-05,8.77E-05,1.16E-04,1.30E-04,1.93E-04,2.33E-04,2.06E-04,1.69E-04,8.11E-05,1.67E-04,8.41E-05,1.42E-04,8.77E-05
28,2.23E-04,2.90E-04,2.35E-04,2.96E-04,6.11E-04,4.47E-04,6.88E-04,4.47E-04,2.61E-04,1.29E-04,3.37E-04,1.76E-04,2.74E-04,2.86E-04,2.94E-04,3.70E-04,6.20E-04,8.36E-04,7.61E-04,6.33E-04,3.42E-04,1.58E-04,3.42E-04,1.84E-04,2.53E-04,2.14E-04,3.02E-04,4.94E-04,4.52E-04,6.26E-04,6.42E-04,2.96E-04,2.64E-04
29,0.001329322,0.001250466,0.002026699,0.003188281,0.003788267,0.001877883,0.002729545,0.002047908,0.002175595,0.001660145,0.001047887,0.001470242,7.40E-04,9.05E-04,0.001576869,0.002886471,0.002586504,0.002348708,0.004267474,0.002336494,0.002660822,0.001439216,0.001941117,0.001046429,0.001737611,0.001170964,0.002027385,9.24E-04,0.004110811,0.00404515,0.002418923,0.002205918,0.001675048
30,0.002564929,0.002710081,0.003760973,0.003655655,0.003871186,0.003951512,0.003696166,0.003960842,0.003400455,0.002359571,0.00237789,0.002758352,0.001688989,0.002915382,0.002566376,0.003660372,0.003541498,0.004342165,0.004311384,0.002728279,0.003166178,0.002949529,0.001954856,0.002079203,0.002895322,0.002554702,0.002660882,0.002735973,0.003319796,0.003751632,0.00388759,0.003507298,0.003300569
31,0.001740269,0.001675043,0.002957897,0.002093123,0.002639144,0.002684178,0.002883199,0.002779141,0.002059951,0.001800905,0.001407812,0.00127075,0.001344271,0.002745135,0.002046474,0.002197896,0.002797362,0.002008082,0.002300117,0.002380061,0.001853006,0.002311536,0.001498594,0.002200521,0.001402483,0.001474324,0.002297272,0.00344458,0.002387977,0.002248124,0.001958479,0.00135366,0.001714415
32,0.001478907,8.91E-04,0.002514853,0.001943373,0.002420147,0.001527332,0.002196301,0.001535258,0.001073702,0.001364819,9.79E-04,7.48E-04,0.001172761,0.00192353,0.001527401,0.001912916,0.001967053,0.001568376,0.002599838,0.002061359,0.001216523,0.001182841,0.001261784,0.001899491,0.001259278,0.001439442,0.001845061,0.00255569,0.002454042,0.001170009,0.001333369,0.001441032,0.001565861
33,8.80E-05,1.34E-04,1.50E-04,8.88E-05,1.21E-04,6.38E-05,1.39E-04,1.85E-04,7.43E-05,5.66E-05,5.07E-05,7.03E-05,2.93E-04,1.80E-04,1.09E-04,3.13E-04,3.24E-05,9.03E-05,2.08E-04,9.15E-05,1.17E-04,1.20E-04,2.25E-04,1.73E-04,1.04E-04,6.11E-05,1.07E-04,8.25E-05,2.00E-04,1.61E-04,7.94E-05,1.70E-04,1.30E-04
34,0.003480379,0.005136384,0.00638975,0.006548023,0.005793549,0.003905406,0.006159792,0.006426233,0.007182754,0.007467611,0.00678712,0.003481115,0.003247656,0.00316704,0.00647289,0.005318742,0.005592315,0.004564037,0.005152781,0.006259153,0.007696223,0.007427328,0.005263476,0.003955112,0.003898277,0.002858581,0.005860421,0.005419871,0.006210289,0.005030486,0.004747837,0.006798022,0.00759444
35,7.70E-06,3.60E-05,4.37E-04,0.001064839,0.002809263,0.004106014,0.007379331,0.006991557,0.003294379,0.002286593,3.15E-04,4.75E-06,2.48E-07,1.85E-05,4.42E-04,7.34E-04,0.001974071,0.003191284,0.006955035,0.005721192,0.003870105,0.001865331,7.88E-05,4.72E-06,6.59E-05,3.86E-05,3.16E-04,9.14E-04,0.00227337,0.002037873,0.004371237,0.006188918,0.003415381
36,6.48E-06,3.13E-05,2.90E-05,1.10E-05,8.23E-05,7.88E-06,6.77E-05,2.04E-05,1.51E-06,9.77E-06,5.58E-06,9.44E-06,1.53E-05,3.14E-06,2.32E-06,5.46E-07,7.05E-06,1.17E-05,2.93E-05,1.51E-05,2.24E-07,3.26E-05,1.24E-06,1.56E-07,8.76E-05,6.24E-05,4.54E-05,2.08E-05,1.99E-05,1.27E-06,2.49E-06,2.71E-05,1.73E-06
37,7.45E-05,4.23E-04,3.99E-04,2.30E-04,5.29E-05,7.13E-06,2.43E-06,8.62E-06,3.21E-05,3.18E-04,2.52E-04,3.27E-04,5.49E-04,3.59E-04,1.14E-04,3.19E-05,2.56E-05,3.09E-05,7.24E-06,2.53E-05,2.17E-05,1.30E-04,1.88E-04,6.03E-05,1.85E-04,3.36E-04,2.38E-04,3.21E-04,1.45E-04,5.88E-06,7.83E-06,9.38E-06,3.13E-05
38,0.00200391,0.001390344,0.002196637,0.002945097,0.003308176,0.00370322,0.003631033,0.00236676,0.001502789,0.003852323,0.003297291,0.002593353,0.002368336,0.001755725,0.002349714,0.001737807,0.002756147,0.003195549,0.003206685,0.002413009,0.002590351,0.002901304,0.002526924,0.003902469,0.001612204,0.001157396,0.002042802,0.002423873,0.00213429,0.002901798,0.002828971,0.002398439,0.001286104
