GA_ID,198001,198002,198003,198004,198005,198006,198007,198008,198009,198010,198011,198012,198101,198102,198103,198104,198105,198106,198107,198108,198109,198110,198111,198112,198201,198202,198203,198204,198205,198206,198207,198208,198209,198210,198211,198212,198301,198302,198303,198304,198305,198306,198307,198308,198309,198310,198311,198312,198401,198402,198403,198404,198405,198406,198407,198408,198409,198410,198411,198412,198501,198502,198503,198504,198505,198506,198507,198508,198509,198510,198511,198512
1,101099.3356,100967.7563,101001.3195,101002.4929,101195.8403,101415.9398,101449.9428,101448.7989,101348.2914,101276.6357,101171.729,101088.6643,101125.7107,101013.4288,101047.2622,100992.489,101148.7025,101361.7217,101447.7284,101429.037,101365.2092,101185.7036,101103.7013,101089.5296,101042.6641,101003.2555,100975.8255,101018.9816,101158.5281,101436.085,101454.7245,101471.9357,101386.0198,101237.6191,101159.183,101121.7585,101128.1952,101071.8222,101013.1591,100981.6852,101071.0658,101378.2492,101440.4429,101559.5214,101374.9364,101280.5069,101302.8148,101203.5948,101046.1663,100900.8437,100897.1886,100947.603,100993.3677,101222.3915,101262.5564,101328.9718,101239.1034,101149.027,101105.4054,100980.7371,100981.9708,101021.6494,100878.529,100952.1108,101085.5841,101396.4093,101402.9443,101359.1088,101252.092,101136.9711,101091.9613,101029.0929
2,98129.79778,98009.85247,97961.53639,97888.09692,98049.82147,98238.0639,98263.22011,98289.37502,98252.53652,98190.34285,98177.65654,98222.94898,98283.37292,98066.51246,98001.8403,97908.07046,98050.06434,98210.96912,98262.51968,98274.70305,98251.6831,98122.53081,98190.03551,98194.54153,98215.71951,98071.42595,97998.06235,97931.52712,98052.54424,98279.7458,98276.55929,98301.055,98259.93818,98149.76579,98208.59388,98265.35578,98441.19992,98146.64871,98071.77253,97893.98321,97929.10195,98206.74434,98233.32379,98360.32514,98239.04525,98200.88346,98271.75864,98260.33288,98176.59148,98014.39217,97860.1648,97846.74829,97890.76413,98112.90116,98124.86619,98196.96516,98141.4537,98108.67409,98123.97737,98126.21545,98082.80911,98156.67191,97842.93007,97906.3123,97947.4399,98218.64604,98261.06646,98236.88047,98161.45099,98098.47918,98094.3266,98208.74622
3,96813.65771,96714.97889,96542.74547,96294.41071,96234.47068,96324.30056,96351.82644,96421.49541,96518.51847,96588.60281,96778.06625,96958.43994,97070.87038,96818.23244,96558.93741,96350.88707,96279.78394,96344.91189,96327.98888,96382.04965,96464.34901,96578.65589,96942.18828,96911.46065,96930.9031,96778.30922,96600.22332,96312.60904,96316.5815,96409.09606,96381.21684,96415.30271,96507.82917,96513.47547,96890.2682,97000.83714,97411.36828,96898.38703,96798.52686,96447.79597,96175.01136,96357.5012,96294.66242,96429.69511,96442.97512,96743.94764,96877.52453,96956.25881,96988.61712,96769.04046,96406.27788,96231.42054,96169.41135,96326.46606,96283.2237,96370.32324,96393.36097,96574.85682,96738.14027,96902.29719,96769.92207,96969.44582,96414.99461,96461.28087,96217.24352,96329.60123,96359.80069,96373.85352,96428.61761,96640.2516,96707.26041,96964.05469
4,96452.22794,96506.47307,96190.04552,95861.42128,95739.28804,95906.42355,95854.28045,95983.92491,96220.192,96349.06635,96445.37612,96762.87188,97002.06305,96600.50949,96201.66403,95879.55412,95894.47317,95854.04607,95883.92416,95984.87899,96159.36561,96332.62541,96853.23248,96546.49283,96695.71959,96485.31706,96310.01016,95888.31444,96024.15964,95966.58289,95999.63865,95899.18897,96103.27364,96160.98845,96628.87607,96899.13248,97500.97803,96532.48404,96516.25611,96081.75546,95908.00196,96002.50642,95851.5339,95883.88704,96145.43873,96598.43076,96478.844,96786.62442,96856.85213,96609.27143,96018.29658,95859.88636,95732.7366,95949.59686,95982.31157,95892.56051,96022.67694,96428.01509,96358.42273,96737.91747,96367.80205,96646.28742,96135.14313,96030.6968,95727.04683,95841.84605,95927.49129,95963.77454,96172.50418,96381.26174,96303.19063,96807.44522
5,101174.9013,101684.8339,100884.5934,101126.3482,100848.5772,101154.9298,101125.955,101171.4875,101495.9262,101123.8567,101185.8145,101671.8683,101823.5442,101464.6428,101106.0563,101016.4964,101028.6579,101207.6156,101286.9523,101195.9201,101226.7472,101262.8523,101993.6059,100584.4687,101454.7893,101421.8527,101446.901,101006.2978,101473.0177,101191.3723,101085.1197,101161.4273,101336.9872,101078.7818,101361.2078,101505.9356,102652.7117,101396.9186,101463.7737,101024.3203,100961.9445,101299.6864,101072.5156,101107.4022,101325.8151,101721.5225,101193.0238,101435.6307,101618.2899,101439.7258,100960.5024,101043.2383,100554.7614,101275.627,101300.7949,101199.4831,101033.9766,101502.2105,100884.606,101711.9455,100899.4328,101447.2746,101109.3763,101053.103,100832.9229,101140.338,101203.4897,101222.6236,101463.224,101586.306,100970.8874,101628.3271
6,100653.1946,100965.4557,100276.304,101477.0381,100836.4419,100600.1822,100728.9499,100893.3775,100938.8105,100435.5513,100873.4677,101247.0933,101749.0509,101177.639,99874.0325,101228.0147,100118.3195,101161.1071,101085.327,101343.7612,100454.2907,100344.8326,101553.3381,99570.80017,100908.6937,100732.9179,100906.6835,101316.2648,101027.5767,100669.9235,101163.1538,100814.1677,100724.6996,100254.6497,100344.5903,100522.3518,101669.073,101202.1468,101041.7184,100082.8023,100054.4135,101277.2051,101051.7649,101216.2911,100592.6168,101152.3285,100853.1145,100441.2112,100291.4215,101313.3781,100793.9854,101085.3708,100485.784,101092.7286,101123.2986,101077.8158,100526.6085,100598.5538,99657.8192,101018.6505,100573.4995,101013.9815,100588.2313,100487.9253,100630.941,100754.561,100857.4528,100576.5535,101181.6906,101417.4479,100675.6028,100507.8295
7,101212.3598,101376.5535,100963.1177,101628.0315,101777.5813,100819.0882,101121.9312,101096.3957,100948.0456,100443.4247,101080.7133,100272.2914,100905.2817,101356.3212,100090.231,101965.5625,100954.2999,101289.9283,101039.5004,101564.7608,100770.6539,99980.64946,100928.1975,100174.5087,101193.1835,101090.7133,100551.6927,101426.179,101329.776,101456.8341,101643.5091,100589.7802,100771.3483,100634.5854,99967.61862,99908.53696,100109.329,101748.9622,100559.8643,100631.3634,100778.7759,101587.7937,101486.5766,101581.1542,100599.028,100418.9026,101193.0084,100476.9238,99651.26414,101323.7388,101710.4904,101635.967,101218.3604,101272.0199,101355.9247,101531.8057,100525.8409,100329.7106,100208.2384,101057.6349,101150.5125,101838.1813,100881.9241,100688.5139,101389.3884,101064.8952,101017.4943,100523.0871,101148.2053,101667.7108,101004.7256,100446.5854
8,101192.9016,100840.8162,101253.9911,100856.6853,101927.8828,101235.3737,101582.7615,101305.9587,100684.3116,100952.8614,101026.9281,99703.74093,99977.74986,100318.5543,100894.8685,101421.7065,101666.9658,101418.0198,100862.3497,101175.7825,101045.8343,100574.1179,100423.5896,100977.1276,101043.0155,100179.9422,100053.4568,100501.8885,101621.3566,101970.895,100899.3591,100809.8487,100428.6298,100773.2129,99501.64842,99347.34499,98773.65434,100979.9111,100145.8215,101299.1768,101683.1776,101100.3669,100857.8119,100713.7805,100704.4253,100119.3927,100809.2319,100246.3502,99378.77005,100125.2608,101846.8259,100931.0683,101394.686,101450.0627,101231.1423,101115.3564,100975.0739,100596.2104,100564.4665,100220.8117,101529.8063,101288.4298,100929.2423,101249.1237,101929.297,101690.0306,101142.3077,100851.6099,100858.0965,100487.4733,101195.7536,101079.0265
9,101274.1578,101119.6598,101135.6615,101171.9876,101397.5659,101622.5586,101643.6247,101661.1314,101555.9721,101501.0948,101403.8703,101269.9461,101266.5423,101164.7298,101214.7116,101176.4695,101342.1723,101570.2953,101648.9056,101645.0638,101565.3532,101392.7374,101306.4443,101268.2504,101194.4806,101121.271,101120.3788,101191.9813,101353.1519,101637.807,101648.1223,101666.3534,101576.1072,101444.2379,101361.7646,101298.4838,101231.3512,101200.9591,101169.8379,101156.024,101287.5024,101580.1523,101634.7911,101761.8154,101580.4932,101492.3931,101513.2014,101362.9764,101147.4457,100997.5874,101001.3523,101073.022,101167.4497,101410.3888,101449.5962,101517.2738,101434.1219,101369.7762,101296.0668,101148.2383,101124.5476,101114.9903,101013.0505,101087.6502,101281.5924,101588.6711,101579.9004,101559.1036,101457.3727,101345.1571,101296.9605,101187.1004
10,101602.2795,101423.2036,101445.9581,101525.4291,101774.9425,101961.7582,101997.7491,102052.1511,101906.0314,101897.7521,101826.5541,101611.844,101591.224,101490.7009,101552.5896,101541.3285,101652.9415,101971.2007,102002.8934,101978.765,101917.4842,101769.655,101686.9677,101651.6247,101523.2381,101440.4242,101486.5664,101589.6707,101703.936,102024.8248,102027.6487,102092.9344,101881.2142,101811.057,101717.3329,101672.1263,101527.326,101545.2012,101562.7149,101542.8984,101683.9746,101935.5529,101993.1732,102128.9073,101912.0714,101882.1021,101847.2897,101665.503,101403.5407,101277.6687,101367.6952,101474.9568,101605.2634,101787.8625,101856.564,101868.236,101797.7565,101818.6941,101665.1953,101487.5502,101428.1927,101375.0986,101372.3832,101491.3849,101671.4792,101959.7127,101970.0588,101986.2123,101858.8087,101744.162,101642.2247,101527.5479
