GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
73,392.2208536,402.0535573,411.8863171,421.7190723,431.5518316,441.3845632,451.217307,461.0500848,470.8828147,480.7155903,481.0416683,484.3421145,487.6425001,490.9429176,504.6030216,518.263073,531.9232142,545.5833167,559.2433459,572.9034093,586.5634721,600.2236293,613.8835933,627.5437135,641.2038278,654.8639086,668.5238995,682.1840116,695.844077,709.504235,723.1642365,736.8244382,750.4844588,764.1445278,777.8046743,791.4646837,805.1247785,818.7848231,832.4449593,846.1050286,859.7651114
79,1140.05031,1172.397991,1204.745526,1237.09306,1269.440645,1301.788184,1334.135588,1366.48305,1398.830524,1431.178826,1431.854461,1441.907957,1451.962176,1462.016568,1496.117041,1530.217071,1564.316769,1598.416723,1632.516599,1666.61723,1700.71716,1734.816779,1768.9168,1803.0166,1837.117345,1871.217302,1905.317188,1939.417655,1973.517581,2007.617389,2041.7174,2075.817099,2109.917802,2144.016898,2178.117586,2212.217496,2246.317266,2280.417031,2314.517905,2348.617698,2382.717596
80,842.1511242,866.3146537,890.478226,914.6417817,938.8053227,962.9689212,987.1324304,1011.296008,1035.459553,1059.623154,1060.152716,1067.583746,1075.014826,1082.445913,1109.038614,1135.631214,1162.22391,1188.816691,1215.409246,1242.002008,1268.59478,1295.187541,1321.779949,1348.372894,1374.965367,1401.558066,1428.150986,1454.743619,1481.336228,1507.929287,1534.5215,1561.114374,1587.706987,1614.299539,1640.892358,1667.485089,1694.077946,1720.670223,1747.263273,1773.855805,1800.448615
71,243.3733432,249.1880098,255.0026961,260.8173496,266.6320454,272.4467223,278.2613967,284.0760945,289.8907602,295.7054529,295.8990355,297.8485942,299.7981013,301.7476542,310.3737926,318.999884,327.6260147,336.2521429,344.8782634,353.5044009,362.1304927,370.7566444,379.382728,388.0088614,396.6349928,405.2611101,413.8872101,422.5133163,431.1394174,439.7655802,448.391686,457.0178243,465.6439409,474.2700638,482.8961564,491.5223147,500.1483943,508.774505,517.4006671,526.0267774,534.652864
81,580.3077835,594.7524305,609.1969836,623.6415821,638.0861748,652.5307892,666.975355,681.4199652,695.864564,710.3092053,710.7586914,715.7115967,720.6644989,725.6174111,745.0528033,764.4881793,783.9236185,803.3590247,822.7943768,842.2297624,861.6651571,881.1005824,900.5359512,919.9713917,939.406805,958.8421161,978.2776142,997.712971,1017.148329,1036.583758,1056.019155,1075.454544,1094.889923,1114.325268,1133.760708,1153.196157,1172.631402,1192.067086,1211.502418,1230.937772,1250.373076
78,1050.602485,1080.580738,1110.558957,1140.537152,1170.515314,1200.493571,1230.471818,1260.449966,1290.428081,1320.406398,1321.039771,1330.309336,1339.578576,1348.848246,1380.499943,1412.15174,1443.803235,1475.455166,1507.106627,1538.758385,1570.410355,1602.06163,1633.713639,1665.365502,1697.01732,1728.669171,1760.320982,1791.972153,1823.624277,1855.275923,1886.927557,1918.579253,1950.230895,1981.882628,2013.534305,2045.185959,2076.837708,2108.489285,2140.141093,2171.792728,2203.444335
88,961.7386659,989.1427783,1016.546937,1043.951104,1071.355305,1098.759492,1126.163659,1153.567856,1180.972079,1208.376063,1208.974781,1217.470805,1225.966801,1234.462964,1264.282718,1294.102493,1323.92194,1353.742046,1383.561635,1413.381351,1443.201298,1473.021073,1502.840574,1532.660476,1562.480135,1592.299889,1622.120033,1651.939681,1681.759131,1711.579488,1741.398518,1771.218501,1801.038163,1830.857978,1860.678031,1890.497724,1920.317565,1950.137125,1979.956829,2009.776485,2039.59646
77,292.3982912,299.8269863,307.2556953,314.6843774,322.1130872,329.5417947,336.9705179,344.3992382,351.8279361,359.2566523,359.4928223,361.9069291,364.3210022,366.735089,377.2289556,387.7228196,398.216667,408.7105756,419.2044235,429.698311,440.19215,450.6860614,461.1798664,471.6737701,482.1676609,492.6615302,503.1553372,513.6492018,524.1430442,534.6369571,545.130827,555.6247124,566.1185815,576.6124436,587.1062895,597.6001895,608.0940185,618.5878738,629.0817413,639.5756139,650.0694599
85,217.7831982,222.8312092,227.87922,232.927177,237.9751905,243.0231903,248.0711751,253.1191881,258.1671607,263.2151988,263.3899896,265.1085305,266.8270215,268.5455746,276.6486309,284.7516333,292.8547027,300.9577253,309.0607847,317.163839,325.2668687,333.3699116,341.4729447,349.57598,357.6790169,365.7820524,373.8851006,381.988113,390.0911278,398.1942207,406.2972429,414.4003022,422.5033451,430.6063709,438.7094386,446.8124199,454.9154711,463.0185021,471.1215716,479.2245775,487.3276503
72,201.1796461,205.741204,210.3027689,214.8642877,219.4258562,223.9874083,228.5489453,233.1105298,237.6720682,242.2336228,242.3955894,243.9522907,245.5089735,247.0656801,254.334423,261.6031838,268.8719305,276.1406507,283.4093792,290.6781469,297.9468699,305.2156536,312.4843927,319.7531364,327.0218892,334.290629,341.5593368,348.8281034,356.0968265,363.3655984,370.6343419,377.9030933,385.1718437,392.4405805,399.7093519,406.9780914,414.2468231,421.5155691,428.7843118,436.0530388,443.3217595
